CustomerID,Name,Age,City,PurchaseAmount,JoinDate,Phone
101,Riya,21,Delhi,2000.0,2020-05-12,9876543210
102,Rahul@@,,Mumbai,3500.0,,
103,,,Pune,4500.0,,9876500000
104,Amit,25,,,2020-07-20,9876543210
105,Sneha,,Delhi,5000.0,,9988776655
106,Priya,22,Mumbai,,,9988776655
107,Rohan###,,Chennai,1500.0,,
108,Meera,19,Delhi,,,
109,Amit,25,Delhi,4500.0,,
110,Raj,,Kolkata,3500.0,,
111,Anjali,,Pune,3000.0,,9876543210
112,Rahul@@,20,Mumbai,3500.0,,
113,,17,,2500.0,,
114,Sameer,,Jaipur,4000.0,,
115,Aman,23,Delhi,3000.0,2020-10-15,9876543210
116,Neha99,,,2500.0,2020-11-01,9876543210
